req_num,text,tests,guidance
1.1,Se definen y comprenden los procesos y mecanismos para instalar y mantener los controles de seguridad de la red.,,
1.1.1,Todas las políticas de seguridad y procedimientos operativos que se identifican en el Requisito 1 son: • Documentados. • Actualizados. • En uso. • Conocidos por todas las partes involucradas.,Evalúe la documentación. ; Entreviste al personal.,
1.1.2,"Los roles y responsabilidades para realizar las actividades del Requisito 1 están documentadas, asignadas y comprendidas.",Evalúe la documentación. ; Entreviste al personal responsable.,
1.2,Se configuran y mantienen los controles de seguridad de la red (NSC).,,
1.2.1,Los estándares de configuración para el conjunto de reglas de los NSC son : • Definidos. • Implementados. • Mantenidos. © 2006- 2024 Implementado Implementado,Evalúe los estándares de configuración. ; Evalúe los ajustes de configuración.,
1.2.2,Todos los cambios en las conexiones de red y en las configuraciones de los NSC se aprueban y gestionan de acuerdo con el proceso de control de cambios definido en el Requisito 6.5.1. © 2006- 2024 Implementado Implementado,Evalúe los procedimientos documentados. ; Evalúe las configuraciones de redes. ; Evalúe los registros de control de cambios. ; Entreviste al personal responsable.,"Los cambios en las conexiones de red incluyen la adición, eliminación o modificación de una conexión. Los cambios en las configuraciones del NSC incluyen aquellos relacionados con el propio componente, así como los que afectan la forma en que realiza su función de seguridad."
1.2.3,"Se mantienen diagramas de red precisos que muestran todas las conexiones entre el CDE y otras redes, incluyendo las redes inalámbricas.",Evalúe los diagramas de red. ; Evalúe las configuraciones de redes. ; Entreviste al personal responsable.,Se puede utilizar un(os) diagrama(s) de red vigente(s) u otra solución técnica o topológica que identifique las conexiones y dispositivos en la red para cumplir con este requisito.
1.2.4,Se mantienen diagramas de flujo de datos precisos que cumplen con lo siguiente: • Muestran todos los flujos de datos del titular de la tarjeta a través de los sistemas y las redes involucradas . • Se actualizan según sea necesario ante cambios en el ambiente.,Evalúe el diagrama de flujo de datos. ; Observe las configuraciones de redes. ; Evalúe la documentación. ; Entreviste al personal responsable.,Para cumplir con este requisito la entidad puede utilizar un diagrama de flujo de datos u otra solución técnica o topológica que identifique los flujos de datos del titular de la tarjeta a través de los sistemas y las redes.
1.2.5,"Todos los servicios, protocolos y puertos permitidos están identificados, aprobados y tienen una necesidad de negocio definida .",Evalúe la documentación. ; Evalúe los ajustes de configuración.,
1.2.6,"Las configuraciones de seguridad son definidas e implementadas para todos los servicios, protocolos y puertos que están en uso y que son considerados inseguros, de tal manera que el riesgo es mitigado.",Evalúe la documentación. ; Evalúe los ajustes de configuración.,
1.2.7,Las configuraciones de los NSC se revisan al menos documentados. © 2006- 2024 Implementado Implementado,Evalúe los procedimientos documentados. ; Evalúe la documentación relativa a las revisiones desarrolladas. ; Evalúe los ajustes de configuración.,
1.2.8,Los archivos de configuración de los NSC están: • Asegurados contra el acceso no autorizado. • Se mantienen consistentes con las del NSC.,Evalúe los archivos de configuración del NSC.,"Cualquier archivo o ajuste utilizado para configurar o sincronizar los NSC se considera un ""archivo de configuración"". Esto incluye archivos, controles automatizados y basados en el sistema, scripts, configuraciones, infraestructura como código u otros parámetros de los que se hace una copia de seguridad, se archivan o se almacenan de forma remota ."
1.3,El acceso a la red hacia y desde el entorno de datos de tarjetahabiente está restringido.,,
1.3.1,El tráfico de entrada al CDE está restringido de la siguiente manera: • Sólo al tráfico necesario. • Todo el resto del tráfico está específicamente configuración del NSC.,Evalúe los estándares de configuración del NSC. ; Evalúe las configuraciones del NSC.,
1.3.2,El tráfico saliente del CDE se restringe de la siguiente manera: • Sólo al tráfico necesario. • Todo el resto del tráfico está específicamente configuración del NSC.,Evalúe los estándares de configuración del NSC. ; Evalúe las configuraciones del NSC.,
1.3.3,"Los NSC se implementan entre todas las redes inalámbricas y el CDE; esto es independientemente de que la red inalámbrica sea parte CDE o no, de manera que: • Todo el tráfico inalámbrico de las redes inalámbricas hacia el CDE es denegado de forma explícita. • Sólo se permite el tráfico inalámbrico al CDE que tenga un propósito de negocio autorizado. © 2006- 2024 Implementado Implementado",Evalúe los ajustes de configuración. ; Evalúe los diagramas de red.,
1.4,Se controlan las conexiones de red entre las redes fiables y las que no lo son.,,
1.4.1,Los NSC se implementan entre redes de confiables configuración del NSC.,Evalúe los estándares de configuración del NSC. ; Evalúe los diagramas de redes vigentes. ; Evalúe las configuraciones de redes.,
1.4.2,"El tráfico entrante de redes que no son confiables a redes confiables está restringido a: • Las comunicaciones con componentes del sistema autorizados para proveer servicios de acceso público, protocolos y puertos. • Respuestas las comunicaciones previamente iniciadas por componentes del sistema en una red confiable, esto para protocolos con dicho comportamiento. • Todo el tráfico restante está denegado.",Evalúe la documentación NSC. ; Evalúe las configuraciones del NSC.,"La intención de este requisito es abordar las sesiones de comunicación entre redes confiables y no confiables, en lugar de las especificaciones de los protocolos. Este requisito no limita el uso de UDP u otros protocolos de red no orientados a conexión si el comportamiento estándar del estado de la conexión del protocolo es mantenido y bajo el control del NSC ."
1.4.3,Se implementan medidas Antispoofing para detectar y bloquear la entrada a la red confiable de direcciones IP origen falsas o suplantadas . © 2006- 2024 Implementado Implementado,Evalúe la documentación NSC. ; Evalúe las configuraciones del NSC.,
1.4.4,Los componentes del sistema que almacenan datos de tarjetahabiente no son accesibles directamente y el diagrama de red.,Evalúe el diagrama de flujo de datos y el diagrama de red. ; Evalúe las configuraciones del NSC.,"Este requisito no se aplica al almacenamiento de datos del titular de la tarjeta en memoria volátil, pero sí se aplica cuando la memoria se trata como almacenamiento persistente (por ejemplo, disco RAM). Los datos del titular de la tarjeta sólo pueden almacenarse en la memoria volátil durante el tiempo necesario para soportar el proceso de negocio asociado (por ejemplo, hasta la finalización transacción relacionada con tarjeta de pago)."
1.4.5,La divulgación de las direcciones IP internas y la información de enrutamiento se limita sólo a las partes autorizadas. © 2006- 2024 Implementado Implementado,Evalúe las configuraciones del NSC. ; Evalúe la documentación. ; Entreviste al personal responsable.,
1.5,Se mitigan los riesgos para el CDE desde dispositivos informáticos que pueden conectarse tanto a redes no confiables como al CDE.,,
1.5.1,"Los controles de seguridad se implementan en cualquier dispositivo informático, incluyendo los dispositivos propiedad de la empresa y de los empleados, que se conectan tanto a redes no confiables (incluida Internet) como al CDE manera siguiente: • Se definen los parámetros de configuración específicos para impedir que se introduzcan amenazas en la red de la entidad. • Los controles de seguridad se están ejecutando activamente. • Los usuarios de los dispositivos informáticos no pueden alterar los controles de seguridad a menos que estén específicamente documentados y autorizados por el nivel gerencial, caso por caso, durante un período configuración. © 2006- 2024 Requisito 2: Aplicar Configuraciones Seguras a Todos los Componentes del Sistema Implementado Implementado",Evalúe las políticas y estándares de configuración. ; Evalúe los ajustes de configuración de los dispositivos.,"Estos controles de seguridad pueden desactivarse temporalmente solo si existe una necesidad técnica legítima, según lo autorizado por el nivel gerencial caso por caso. Se requiere de una autorización formal para desactivar estos controles de seguridad para y bajo un propósito específico. También puede ser necesario implementar medidas de seguridad adicionales durante el período en el cual estos controles seguridad estén desactivados. Este requisito aplica a los dispositivos informáticos que sean propiedad tanto de la entidad como de los empleados. Los sistemas que no pueden ser administrados por políticas corporativas introducen debilidades y brindan oportunidades para que personas malintencionadas pueden explotarlas y/o aprovecharlas ."
2.1,Se definen y comprenden los procesos y mecanismos para aplicar configuraciones seguras a todos los componentes del sistema.,,
2.1.1,Todas las políticas de seguridad y procedimientos operativos que se identifican en el Requisito 2 están: • Documentados. • Actualizados. • En uso. • Conocidos por todas las partes involucradas.,Evalúe la documentación. ; Entreviste al personal.,
2.1.2,"Los roles y responsabilidades para realizar las actividades del Requisito 2 son documentadas, asignadas y comprendidas.",Evalúe la documentación. ; Entreviste al personal responsable.,
2.2,Los componentes del sistema se configuran y gestionan de forma segura.,,
2.2.1,"Los estándares de configuración se desarrollan, se implementan y se mantienen para: • Cubrir todos los componentes del sistema. • Cubrir todas las vulnerabilidades de seguridad conocidas. • Brindar coherencia con el estándar de hardening del sistema aceptadas por el sector o con las recomendaciones de hardening del proveedor. • Ser actualizadas a medida que se identifican nuevos problemas de vulnerabilidad, como se define en el requisito 6.3.1. • Ser aplicadas cuando los nuevos sistemas sean configurados y verificadas como establecidas antes o inmediatamente después de que un componente del sistema se conecte a un entorno configuración del sistema. © 2006- 2024 Implementado Implementado",Evalúe los estándares de configuración del sistema. ; Revise los estándares de endurecimiento aceptados por la industria. ; Evalúe los ajustes de configuración. ; Entreviste al personal.,
2.2.2,"Las cuentas predeterminadas del proveedor se gestionan de la siguiente manera: • Si se utilizan las cuentas predeterminadas del proveedor, la contraseña predeterminada se cambia según el requisito 8.3.6. • Si no se van a utilizar las cuentas predeterminadas del proveedor, la cuenta se configuración del sistema. © 2006- 2024 Implementado Implementado",Evalúe los estándares de configuración del sistema. ; Evalúe la documentación del proveedor. ; Observe a un administrador del sistema iniciando sesión con las cuentas predeterminadas del proveedor. ; Evalúe los archivos de configuración. ; Entreviste al personal.,"Esto se aplica a TODAS las cuentas y contraseñas predeterminadas del proveedor, incluidas, entre otras, las utilizadas por los sistemas operativos, el software que proporciona servicios de seguridad, las cuentas de aplicaciones y sistemas, los terminales de punto de venta (POS), las aplicaciones de pago y los valores predeterminados del Protocolo Simple de Administración de Red (SNMP). Este requisito también se aplica cuando un componente del sistema no está instalado en el entorno de una entidad, por ejemplo, el software y las aplicaciones que forman parte del CDE y a las que se ingresa a través de un servicio de suscripción en la nube ."
2.2.3,"Las funciones principales que requieren distintos niveles de seguridad se administran de la siguiente manera: • Solo existe una función principal en un componente del sistema, • Las funciones principales con distintos niveles de seguridad que existen en el mismo componente del sistema están aisladas entre sí , seguridad en el mismo componente del sistema están todas aseguradas al nivel requerido por la función que requiera un nivel mayor de seguridad.",Evalúe los estándares de configuración del sistema. ; Evalúe las configuraciones del sistema.,
2.2.4,"Solo se habilitan los servicios, protocolos, demonios y funciones necesarios, y se eliminan o deshabilitan todas las funciones innecesarias.",Evalúe las configuraciones del sistema. ; Evalúe los estándares de configuración del sistema.,
2.2.5,"Si existen servicios, protocolos o «demonios» inseguros : • La justificación comercial está documentada. • Se documentan e implementan características de seguridad adicionales que reducen el riesgo de utilizar servicios, protocolos o ""demonios"" configuración.",Evalúe los estándares de configuración. ; Entreviste al personal . ; Evalúe los ajustes de configuración.,
2.2.6,Los parámetros de seguridad del sistema están configuración del sistema. © 2006- 2024 Implementado Implementado,Evalúe los estándares de configuración del sistema. ; Entreviste al personal. ; Evalúe las configuraciones del sistema.,
2.2.7,Todo el acceso administrativo sin consola está configuración del sistema.,Evalúe los estándares de configuración del sistema. ; Observe el inicio de sesión de un administrador. ; Evalúe las configuraciones del sistema. ; Evalúe la documentación del proveedor. ; Entreviste al personal.,Esto incluye el acceso administrativo a través de interfaces basadas en navegador e interfaces de programación de aplicaciones (API).
2.3,Los entornos inalámbricos se configuran y administran de forma segura.,,
2.3.1,"Para entornos inalámbricos conectados al CDE o que transmiten datos del titular de la tarjeta, todos los valores predeterminados de los proveedores inalámbricos se cambian en la instalación o se confirma que son seguros, incluidos, entre otros : • Claves de cifrado inalámbricas predeterminadas. • Contraseñas o puntos de acceso inalámbricos. • Valores predeterminados de SNMP. • Cualquier otro proveedor inalámbrico procedimientos. © 2006- 2024 Implementado Implementado",Evalúe las políticas y procedimientos. ; Revise la documentación del proveedor. ; Evalúe los ajustes de configuración inalámbrica. ; Entreviste al personal.,"Esto incluye, pero no se limita a, las claves de encriptación inalámbrica predeterminadas, las contraseñas de los puntos de acceso inalámbricos, los valores predeterminados de SNMP y cualquier otro valor predeterminado del proveedor inalámbrico relacionado con la seguridad ."
2.3.2,"Para los entornos inalámbricos conectados al CDE o que transmitan datos del titular de la tarjeta, las claves cifradas inalámbricas se cambian como sigue: • Siempre que el personal con conocimiento de la clave deje la empresa o la función para la que era necesario el conocimiento. administración. © 2006- 2024 Proteger los Datos del T itular de la T arjeta Requisito 3: Prote ger los Datos del T itular de la Tarjeta Almacenados Implementado Implementado",Evalúe la documentación clave de administración. ; Entreviste al personal.,
3.1,Se definen y comprenden los procesos y mecanismos para proteger los datos del titular de la tarjeta almacenados.,,
3.1.1,Todas las políticas de seguridad y procedimientos operativos que se identifican en el Requisito 3 son: • Documentados . • Actualizados . • En uso . • Conocidos por todas las partes involucradas.,Evalúe la documentación. ; Entreviste al personal.,
3.1.2,"Los roles y responsabilidades para realizar las actividades del Requisito 3 están documentadas, asignadas y comprendidas. © 2006- 2024 Implementado Implementado",Evalúe la documentación. ; Entreviste al personal responsable.,
3.2,El almacenamiento de los datos del titular de la tarjeta se mantiene al mínimo.,,
3.2.1,"El almacenamiento de datos del titular de la tarjeta se mantiene al mínimo mediante la implementación de políticas y procedimientos de retención y eliminación de datos que incluyan al menos lo siguiente: • Cobertura de todas las ubicaciones donde hay datos del titular de la tarjeta almacenados. • Cobertura de cualquier dato de autenticación sensible (SAD) almacenado antes de completar la autorización . Este punto es una de las mejores prácticas hasta su fecha de vigencia; refiérase a las Notas de Aplicabilidad que aparecen a continuación para obtener más detalles . • Limitar la cantidad de datos almacenados y su tiempo de retención a lo requerido por los requisitos legales o reglamentarios y/o de negocios . • Requisitos de retención específicos para los datos del titular de la tarjeta almacenados que definen la duración del período de retención e incluyen una justificación de negocio documentada . • Procesos para el borrado seguro o para hacer que los datos del titular de la tarjeta que sean irrecuperables cuando ya no se necesitan según la política de retención. • Un proceso para verificar, al menos una vez cada tres meses, que los datos del titular de la tarjeta almacenados que excedan el período de retención definido se han eliminado de forma segura o se han vuelto irrecuperables. (continuación) © 2006- 2024 Implementado Implementado","Evalúe las políticas, procedimientos y procesos de conservación y eliminación de datos. ; Entreviste al personal. ; Evalúe los archivos y registros del sistema en los componentes del sistema en los que se almacenan los datos del titular de la tarjeta. ; Observe los mecanismos utilizados para hacer que los datos del titular de la tarjeta sean irrecuperables.","Cuando un TPSP almacena datos del titular de la tarjeta (por ejemplo, en un entorno de nube), las entidades son responsables de trabajar con sus proveedores de servicios para comprender cómo el TPSP cumple con este requisito para la entidad. Las consideraciones incluyen garantizar que todas las instancias geográficas de un elemento de datos se eliminen de forma segura. El punto anterior (para la cobertura de SAD almacenada antes de completar la autorización) es una mejor práctica hasta el 31 de marzo de 2025, después de lo cual se requerirá como parte del Requisito 3.2.1 y se debe considerar en su totalidad durante una e valuación de los PCI DSS."
3.3,Los datos de autenticación sensibles (SAD) no se almacenan después de la autorización.,,
3.3.1,"Los SAD no se almacenan después de la autorización, incluso si están cifrados. Todos los datos de autenticación sensibles recibidos se vuelven irrecuperables una vez finalizado el proceso procedimientos documentados.",Evalúe las políticas y procedimientos documentados. ; Evalúe las configuraciones del sistema. ; Observe los procesos de eliminación de datos seguros.,"Parte de esta Nota de Aplicabilidad se eliminó intencionadamente para este SAQ, ya que no se aplica a las evaluaciones de las empresas. Los datos de autenticación sensibles incluyen los datos citados en los Requisitos 3.3.1.1 hasta el 3.3.1.3 ."
3.3.1.1,El contenido completo de cualquier pista no se almacena una vez finalizado el proceso de autorización. © 2006- 2024 Implementado Implementado,Evalúe las fuentes de datos.,"En el curso normal de los negocios, es posible que sea necesario conservar los siguientes elementos de datos de la pista: • Nombre del tarjetahabiente. • Número de cuenta principal (PAN). • Fecha de expiración. • Código de servicio. Para minimizar el riesgo, almacene de forma segura sólo estos elementos de datos según sea necesario para la empresa ."
3.3.1.2,El código de verificación de la tarjeta no se almacena una vez finalizado el proceso de autorización.,Evalúe las fuentes de datos.,"El código de verificación de la tarjeta es el número de tres o cuatro dígitos impresos en el anverso o reverso de una tarjeta de pago, que se utiliza para verificar las transacciones sin tarjeta presente."
3.3.1.3,El número de identificación personal (PIN) y el bloque del PIN no se almacenan una vez finalizado el proceso de autorización . © 2006- 2024 Implementado Implementado,Evalúe las fuentes de datos.,"Los bloques PIN se cifran durante el curso natural de los procesos de transacción, pero incluso si una entidad cifra el bloque de PIN nuevamente, todavía no se permite que se almacene después de la finalización del proceso de autorización."
3.3.2,Los SAD que se almacenan electrónicamente antes de completar la autorización se cifran mediante las configuraciones del sistema.,Evalúe los almacenajes de datos y las configuraciones del sistema. ; Evalúe la documentación del proveedor.,"Las organizaciones que administran los programas de cumplimiento (por ejemplo, las marcas de pago y adquirentes) determinan si se permite el almacenamiento de los SAD antes de la autorización. Comuníquese con estas organizaciones para cualquier criterio adicional. Este requisito aplica para todo almacenamiento de los SAD, incluso si no hay datos PAN en el entorno. Consulte el Requisito 3.2.1 para conocer el requisito adicional que aplica si el SAD se almacena antes de completar la autorización. Parte de esta Nota de Aplicabilidad se eliminó intencionadamente para este SAQ, ya que no se aplica a las evaluaciones de las empresas. Este requisito no reemplaza la forma en que se deben administrar los bloques de PIN, ni significa que un bloque de PIN que haya sido cifrado correctamente deba volver a cifrarse. Este requisito es una práctica recomendada hasta el 31 de marzo de 2025, después de lo cual será obligatorio y debe tenerse en cuenta en su totalidad durante una evaluación PCI DSS ."
3.3.3,Requisito adicional para emisores y empresas que soportan servicios de emisión y que almacenan datos de autenticación sensibles. © 2006- 2024 Implementado Implementado,,
3.4,El acceso a las pantallas de datos PAN completas y la capacidad de copiar los datos PAN están restringidos.,,
3.4.1,"Los datos PAN están enmascarados cuando se muestra (el BIN y los últimos cuatro dígitos constituyen el número máximo de dígitos que se muestran), de manera que sólo el personal con una necesidad legítima de negocios pueda ver más que procedimientos documentados.","Evalúe las políticas y procedimientos documentados. ; Evalúe las configuraciones del sistema. ; Evalúe la lista documentada de los roles que necesitan tener acceso a algo más que el BIN y a los últimos cuatro dígitos del PAN (incluye el PAN completo). ; Evalúe la presentación del PAN (por ejemplo, en la pantalla, en los recibos de papel).","Este requisito no sustituye a otros más estrictos para la visualización de los datos de tarjetahabiente, por ejemplo, los requisitos legales o de las marcas de pago para los recibos de los puntos de venta (POS). Este requisito se refiere a la protección de los datos PAN cuando se muestran en pantallas, recibos de papel, impresiones, etc., y no debe confundirse con el requisito 3.5.1 para la protección de los datos PAN cuando se almacenan, procesan o transmiten."
3.4.2,"Cuando se utilicen tecnologías de acceso remoto, los controles técnicos impiden la copia y/o la reubicación de los datos PAN para todo el personal, excepto para aquellos con autorización explícita y documentada y una necesidad legítima de negocio y controles técnicos. © 2006- 2024 Implementado Implementado","Evalúe las políticas, procedimientos y evidencias documentados de los controles técnicos. ; Evalúe las configuraciones de las tecnologías de acceso remoto. ; Observe los procesos. ; Entreviste al personal.","Almacenar o reubicar los datos PAN en discos duros locales, medios electrónicos extraíbles y otros dispositivos de almacenamiento hace que estos dispositivos estén dentro del alcance PCI DSS. Este requisito es una práctica recomendada hasta el 31 de marzo de 2025, después de lo cual será obligatorio y debe tenerse en cuenta en su totalidad durante una evaluación PCI DSS ."
3.5,El número de cuenta principal (PAN) está protegido donde sea que se almacene.,,
3.5.1,"Los datos PAN se hacen ilegibles en cualquier lugar donde se almacenen utilizando cualquiera de los siguientes enfoques: • Hashes unidireccionales basados en criptografía robusta del PAN completo. • Truncamiento (los hashes no pueden utilizarse para reemplazar el segmento truncado de la PAN). – Si en un entorno hay versiones truncadas y con hash del mismo PAN, o diferentes formatos de truncamiento del mismo PAN, se establecen controles adicionales de manera que las diferentes versiones no puedan correlacionarse para reconstruir el PAN original. • Indice de tokens. • Criptografía robusta con procesos y procedimientos de gestión de claves asociados. © 2006- 2024 Implementado Implementado","Evalúe la documentación sobre el sistema utilizado para hacer ilegible el PAN. ; Evalúe los depósitos de datos. ; Evalúe los registros de auditoría, incluyendo los registros de aplicaciones de pago. ; Evalúe los controles para verificar que los PAN cifrados y truncados no pueden correlacionarse para reconstruir el PAN original.","Este requisito se aplica a los datos PAN guardados en almacenamiento primario (bases de datos o archivos planos como hojas de cálculo de archivos de texto), así como en almacenamiento no primario (copias de seguridad, registros de auditoría, registros de excepciones o de resolución de problemas) . Este requisito no excluye el uso de archivos temporales que contengan datos PAN en texto no cifrado mientras se encriptan y des -encriptan."
3.5.1.1,"Los hash utilizados para hacer ilegibles los datos PAN (según el primer punto del requisito 3.5.1) son hashes criptográficos con clave de todos los datos PAN, con procesos y procedimientos de gestión de claves asociados de acuerdo con los Requisitos 3.6 y 3.7 . • No hay otros datos de cuenta almacenados en el mismo sistema que los hashes. Este requisito se considera una práctica recomendada hasta el 31 de marzo de 2025, después de lo cual será obligatorio y debe tenerse en cuenta en su totalidad durante una evaluación PCI DSS. Este requisito reemplazará el punto del Requisito 3.5.1 para hashes unidireccionales una vez que se alcance su fecha de efectividad. © 2006- 2024 Implementado Implementado","Evalúe la documentación sobre el método de hash utilizado. ; Evalúe la documentación sobre los procedimientos y procesos de gestión de claves. ; Evalúe los depósitos de datos. ; Evalúe los registros de auditoría, incluyendo los registros de aplicaciones de pago.",Todas las Notas de Aplicabilidad del Requisito 3.5.1. se aplican también este requisito. Los procesos y procedimientos de gestión de claves (Requisitos 3.6 y 3.7) no se aplican a los componentes del sistema utilizados para generar hashes con clave individuales de un PAN para su comparación con otro sistema si: • Los componentes del sistema solo tienen acceso a un valor de hash a la vez (los valores de hash no se almacenan en el sistema)
3.5.1.2,"Si se utiliza un a nivel de disco o de partición (en lugar de un cifrado de base de datos a nivel de archivo, columna o campo) para hacer que los datos PAN sea ilegibles, sólo se implementará de la siguiente manera: • En medios electrónicos extraíbles, • Si se utiliza para medios electrónicos no extraíbles, los datos PAN también se hacen ilegibles mediante otro mecanismo que cumpla con el Requisito 3.5.1. © 2006- 2024 Implementado Implementado",Observe los procesos de cifrado. ; Evalúe las configuraciones y/o la documentación del proveedor.,"Este requisito se aplica a cualquier método de cifrado que proporcione automáticamente un PAN en texto claro cuando se ejecuta un sistema, aunque un usuario autorizado no haya solicitado específicamente esos datos. Aunque el cifrado de disco puede seguir estando presente en estos tipos de dispositivos, este no puede ser el único mecanismo utilizado para proteger los datos del PAN almacenados en esos sistemas. Cualquier dato del PAN almacenado también debe volverse il egible según el Requisito 3.5.1, por ejemplo, mediante el truncamiento o por un mecanismo de cifrado a nivel de datos. El cifrado de disco completo ayuda a proteger los datos en caso de pérdida física de un disco y, por lo tanto, su uso es apropiado sólo p ara dispositivos de almacenamiento de medios electrónicos extraíbles. Los medios que forman parte de la arquitectura de un centro de datos (por ejemplo, unidades intercambiables en caliente, copias de seguridad en cinta) se consideran medios electrónicos no extraíbles a los que se aplica el Requisito 3.5.1. Las implementaciones de cifrado de discos o particiones también deben cumplir todos los demás requisitos de cifrado y gestión de claves PCI DSS . Parte de esta Nota de Aplicabilidad se eliminó intencionadamente para este SAQ, ya que no se aplica a las evaluaciones de las empresas. Este requisito es una práctica recomendada hasta el 31 de marzo de 2025, después de lo cual será obligatorio y debe tenerse en cuenta en su totalidad durante una evaluación PCI DSS ."
