req_num,text,tests,guidance
1.1,Os processos e mecanismos para instalar e manter os controles de segurança da rede são definidos e compreendidos.,,
1.1.1,Todas as políticas e processos operacionais identificados no Requisito 1 estão: • Documentadas. • Atualizadas. • Em uso. • De conhecimento de todas as partes afetadas.,Examine a documentação. ; Entreviste o pessoal.,
1.1.2,"As funções e responsabilidades para a execução de atividades no Requisito 1 são documentadas, atribuídas e compreendidas.",Entreviste o pessoal responsável. ; Examine a documentação.,
1.2,Os controles de segurança de rede (NSCs) são configurados e mantidos.,,
1.2.1,Os padrões de configuração para conjuntos de regras NSC são: • Definido s. • Implementad os. • Mantidos.,Examine os padrões de configuração. ; Examine as definições de configuração. Requisito do PCI DSS Teste Esperado Resposta♦ Implementado Implementado com Não Aplicável Não Testado Não Implementado,
1.2.2,Todas as mudanças nas conexões de rede e nas documentados.,"Examine os procedimentos documentados. ; Examine as configurações de rede. ; Examine os registros de controle de mudanças. ; Entreviste o pessoal responsável. Observações de Aplicabilidade As mudanças nas conexões de rede incluem a adição, remoção ou modificação de uma conexão. As mudanças nas configurações do NSC incluem aquelas relacionadas ao próprio componente, bem como aquelas que afetam a forma como ele desempenha sua função de segurança.",
1.2.3,"São mantidos diagramas de rede precisos que mostram todas as conexões entre o CDE e outras redes, incluindo quaisquer redes wireless.",Examine as configurações de rede. ; Entreviste o pessoal responsável. Observações de Aplicabilidade Um(ns) diagrama(s) de rede atual ou outra solução técnica ou topológica que identifique conexões e dispositivos de rede pode ser usado para atender a esse requisito. ; Examine os diagramas de rede.,
1.2.4,Um(s) diagrama(s) de fluxo de dados precisos são mantidos que atendem ao seguinte: • Mostra todos os fluxos de dados da conta entre sistemas e redes. dados.,Examine os diagramas de fluxo de dados. ; Observe as configurações de rede. ; Examine a documentação. ; Entreviste o pessoal responsável. Observações de Aplicabilidade Um(s) diagrama(s) de fluxo de dados ou outra solução técnica ou topológica que identifica fluxos de dados de contas em sistemas e redes podem ser usados para atender a esse requisito.,
1.2.5,"Todos os serviços, protocolos e portas permitidas são identificados, aprovados e têm uma necessidade comercial definida.",Examine a documentação. ; Examine as definições de configuração. Requisito do PCI DSS Teste Esperado Resposta♦ Implementado Implementado com Não Aplicável Não Testado Não Implementado,
1.2.6,"Os recursos de segurança são definidos e implementados para todos os serviços, protocolos e portas em uso e considerados inseguros, de forma que o risco seja mitigado.",Examine a documentação. ; Examine as definições de configuração.,
