req_num,text,tests,guidance
1.1,Prozesse und Mechanismen zur Installation und Wartung von Netzwerksicherheitskontrollen werden definiert und verstanden.,,
1.1.1,"Alle Sicherheitsrichtlinien und Betriebsprozeduren, die in Anforderung 1 identifiziert werden, sind: • Dokumentiert. • Auf dem neuesten Stand gehalten. • In Verwendung.",Allen betroffenen Parteien bekannt. • Dokumentation untersuchen. ; Personal befragen.,
1.1.2,"Die Rollen und Zuständigkeiten für die Durchführung der Aktivitäten gemäß Anforderung 1 sind dokumentiert, zugewiesen und verstanden. • Dokumentation untersuchen. • Verantwortliches Personal befragen.",,
1.2,Netzwerksicherheitskontrollen (NSCs) werden konfiguriert und gewartet.,,
1.2.1,Konfigurationsstandards für NSC -Regelsätze sind: • Definiert. • Implementiert. • Gewartet. • Konfigurationsstandards untersuchen. • Konfigurationseinstellungen © 2006 -2024 PCI DSS -Anforderung Erwartetes Testen Antwort♦ (Eine Antwort für jede Anforderung ankreuzen ) Vorhanden Vorhanden mit CCW Nicht Anwendbar Nicht Getestet Nicht,,
1.2.2,Alle Änderungen an Netzwerkverbindungen und an Konfigurationen von NSCs werden gemäß dem in Anforderung 6.5.1 definierten Änderungskontrollprozess genehmigt und verwaltet. • Dokumentierte Prozeduren untersuchen. • Netzwerkkonfigurationen • Änderungskontrollaufzeichnun gen untersuchen.,Verantwortliches Personal befragen.,"Änderungen an Netzwerkverbindungen beinhalten das Hinzufügen, Entfernen oder Ändern einer Verbindung. Änderungen an NSC -Konfigurationen beinhalten solche, die sich auf die Komponente selbst beziehen, sowie solche, die sich darauf auswirken, wie sie ihre Sicherheitsfunktion ausführt."
1.2.3,"Genaue Netzwerkdiagramme werden beibehalten, die alle Verbindungen zwischen der CDE und anderen Netzwerken, einschließlich aller drahtlosen Netzwerke, zeigen. • Netzwerkdiagramme untersuchen. • Netzwerkkonfigurationen • Verantwortliches Personal befragen. © 2006 -2024 PCI DSS -Anforderung Erwartetes Testen Antwort♦ (Eine Antwort für jede Anforderung ankreuzen ) Vorhanden Vorhanden mit CCW Nicht Anwendbar Nicht Getestet Nicht",,"Ein aktuelles Netzwerkdiagramm oder eine andere technische oder topologische Lösung, die die Netzwerkverbindungen und -geräte identifiziert, kann zur Erfüllung dieser Anforderung verwendet werden."
1.2.4,"Genaue Datenflussdiagramm(e) werden gewartet, die Folgendes erfüllen: • Zeigt alle Kontodatenflüsse über Systeme und Netzwerke an. • Wird bei Änderungen an der Umgebung nach Bedarf aktualisiert. • Datenflussdiagramme untersuchen. • Netzwerkkonfigurationen beachten.",Dokumentation untersuchen. • Verantwortliches Personal befragen.,"Ein Datenflussdiagramm(e) oder eine andere technische oder topologische Lösung, die Flüsse von Kontodaten über Systeme und Netzwerke identifiziert, kann zur Erfüllung dieser Anforderung verwendet werden."
1.2.5,"Alle zulässigen Dienstleistungen, Protokolle und Ports werden identifiziert, genehmigt und haben einen definierten Geschäftsbedarf. • Dokumentation untersuchen. • Konfigurationseinstellungen",,
1.2.6,"Für alle Dienstleistungen, Protokolle und Ports, die verwendet werden und als unsicher gelten, werden Sicherheitsfunktionen definiert und implementiert, sodass das Risiko gemindert wird. • Dokumentation untersuchen. • Konfigurationseinstellungen",,
1.2.7,"Konfigurationen von NSCs werden mindestens alle sechs Monate überprüft, um zu bestätigen, dass sie relevant und effektiv sind. • Dokumentierte Prozeduren untersuchen. • Dokumentation von durchgeführten Überprüfungen © 2006 -2024 PCI DSS -Anforderung Erwartetes Testen Antwort♦ (Eine Antwort für jede Anforderung ankreuzen ) Vorhanden Vorhanden mit CCW Nicht Anwendbar Nicht Getestet Nicht",Konfigurationseinstellungen untersuchen.,
1.2.8,Konfigurationsdateien für NSCs sind: • Vor nicht autorisiertem Zugriff gesichert. • Werden konsistent mit aktiven Netzwerkkonfigurationen gehalten. • NSC-Konfigurationsdateien untersuchen.,,"Jede Datei oder Einstellung, die zum Konfigurieren oder Synchronisieren von NSCs verwendet wird, wird als „Konfigurationsdatei“ betrachtet. Dies beinhaltet Dateien, automatisierte und systembasierte Kontrollen, Skripte, Einstellungen, Infrastruktur als Code oder andere Parameter, die gesichert, archiviert oder entfernt gespeichert werden."
1.3,Der Netzwerkzugriff auf und von der Karteninhaberdatenumgebung ist eingeschränkt.,,
1.3.1,"Der eingehende Verkehr zur CDE wird wie folgt eingeschränkt: • Nur auf Verkehr, der notwendig ist, • Jeder andere Verkehr wird gezielt verweigert. • NSC-Konfigurationsstandards untersuchen. • NSC-Konfigurationen",,
1.3.2,"Der ausgehende Verkehr von der CDE wird wie folgt eingeschränkt: • Nur auf Verkehr, der notwendig ist. • Jeder andere Verkehr wird gezielt verweigert. • NSC-Konfigurationsstandards untersuchen. • NSC-Konfigurationen",,
1.3.3,"NSCs werden zwischen allen drahtlosen Netzwerken und der CDE installiert, unabhängig davon, ob es sich bei dem drahtlosen Netzwerk um ein CDE handelt, so dass: • Der gesamte drahtlose Verkehr von drahtlosen Netzwerken in die CDE wird standardmäßig abgelehnt. • Nur drahtloser Verkehr mit einem autorisierten Geschäftszweck ist in die CDE zugelassen. • Konfigurationseinstellungen untersuchen. • Netzwerkdiagramme © 2006 -2024 PCI DSS -Anforderung Erwartetes Testen Antwort♦ (Eine Antwort für jede Anforderung ankreuzen ) Vorhanden Vorhanden mit CCW Nicht Anwendbar Nicht Getestet Nicht",,
1.4,Netzwerkverbindungen zwischen vertrauenswürdigen und nicht vertrauenswürdigen Netzwerken werden kontrolliert.,,
1.4.1,NSCs werden zwischen vertrauenswürdigen und nicht vertrauenswürdigen Netzwerken implementiert. • NSC-Konfigurationsstandards untersuchen. • Aktuelle Netzwerkdiagramme • Netzwerkkonfigurationen,,
1.4.2,"Eingehender Verkehr von nicht vertrauenswürdigen Netzwerken zu vertrauenswürdigen Netzwerken ist beschränkt auf: • Kommunikationen mit Systemkomponenten, die autorisiert sind, öffentlich zugängliche Dienste, Protokolle und Ports bereitzustellen. • Zustandsbehaftete Antworten auf Kommunikationen, die von Systemkomponenten in einem vertrauenswürdigen Netzwerk eingeleitet wurden. • Alle anderen Verkehre werden verweigert. • NSC-Dokumentation untersuchen. • NSC-Konfigurationen",,"Die Absicht dieser Anforderung besteht darin, Kommunikationssitzungen zwischen vertrauenswürdigen und nicht vertrauenswürdigen Netzwerken zu adressieren, anstatt die Besonderheiten von Protokollen. Diese Anforderung schränkt die Verwendung von UDP oder anderen verbindungslosen Netzwerkprotokollen nicht ein, wenn der Zustand vom NSC aufrechterhalten wird."
1.4.3,"Anti-Spoofing -Maßnahmen werden implementiert, um gefälschte Quell -IP-Adressen zu erkennen und daran zu hindern, in das vertrauenswürdige Netzwerk einzudringen. • NSC-Dokumentation untersuchen. • NSC-Konfigurationen © 2006 -2024 PCI DSS -Anforderung Erwartetes Testen Antwort♦ (Eine Antwort für jede Anforderung ankreuzen ) Vorhanden Vorhanden mit CCW Nicht Anwendbar Nicht Getestet Nicht",,
1.4.4,"Auf Systemkomponenten, die Karteninhaberdaten speichern, kann von nicht vertrauenswürdigen Netzwerken nicht direkt zugegriffen werden. • Datenflussdiagramm und Netzwerkdiagramm untersuchen. • NSC-Konfigurationen",,"Diese Anforderung gilt nicht für die Speicherung von Kontodaten in flüchtigem Speicher, gilt jedoch dort, wo der Speicher als persistenter Speicher behandelt wird (z. B. RAM - Disk). Kontodaten können nur während der Zeit im flüchtigen Speicher gespeichert werden, die zur Unterstützung des zugehörigen Geschäftsprozesses erf orderlich ist (zum Beispiel bis zum Abschluss der entsprechenden Zahlungskartentransaktion)."
1.4.5,Die Offenlegung interner IP -Adressen und Routing- Informationen ist nur auf autorisierten Parteien beschränkt. • NSC-Konfigurationen untersuchen. © 2006 -2024 PCI DSS -Anforderung Erwartetes Testen Antwort♦ (Eine Antwort für jede Anforderung ankreuzen ) Vorhanden Vorhanden mit CCW Nicht Anwendbar Nicht Getestet Nicht,Dokumentation untersuchen. • Verantwortliches Personal befragen.,
1.5,"Risiken für die CDE durch Computergeräte, die sich sowohl mit nicht vertrauenswürdigen Netzwerken als auch mit dem CDE verbin den können, werden gemindert.",,
