req_num,text,tests,guidance
1.1,Processes and mechanisms for installing and maintaining network security controls are defined and understood.,,
1.1.1,All security policies and operational procedures that are identified in Requirement 1 are: • Documented. • Kept up to date. • In use. • Known to all affected parties.,Examine documentation. ; Interview personnel.,
1.1.2,"Roles and responsibilities for performing activities in Requirement 1 are documented, assigned, and understood.",Examine documentation. ; Interview responsible personnel.,
1.2,Network security controls (NSCs) are configured and maintained.,,
1.2.1,Configuration standards for NSC rulesets are: • Defined. • Implemented. • Maintained.,Examine configurations standards. ; Examine configuration settings.,
1.2.2,All changes to network connections and to configurations of NSCs are approved and managed in accordance with the change control process defined at Requirement 6.5.1.,Examine documented procedures. ; Examine network configurations. ; Examine change control records. ; Interview responsible personnel.,"Changes to network connections include the addition, removal, or modification of a connection. Changes to NSC configurations include those related to the component itself as well as those affecting how it performs its security function."
1.2.3,"An accurate network diagram(s) is maintained that shows all connections between the CDE and other networks, including any wireless networks.",Examine network diagrams. ; Examine network configurations. ; Interview responsible personnel. Applicability Note s A current network diagram(s) or other technical or topological solution that identifies network connections and devices can be used to meet this requirement .,
1.2.4,An accurate data-flow diagram(s) is maintained that meets the following: • Shows all account data flows across systems and networks. • Updated as needed upon changes to the environment.,Examine data flow diagrams. ; Observe network configurations. ; Examine documentation. ; Interview responsible personnel.,A data-flow diagram(s) or other technical or topological solution that identifies flows of account data across systems and networks can be used to meet this requirement.
1.2.5,"All services, protocols and ports allowed are identified, approved, and have a defined business need.",Examine documentation. ; Examine configuration settings.,
1.2.6,"Security features are defined and implemented for all services, protocols, and ports that are in use and considered to be insecure, such that the risk is mitigated.",Examine documentation. ; Examine configuration settings.,
1.2.7,Configurations of NSCs are reviewed at least once every six months to confirm they are relevant and effective.,Examine documented procedures. ; Examine documentation from reviews performed. ; Examine configuration settings.,
1.2.8,Configuration files for NSCs are: • Secured from unauthorized access. • Kept consistent with active network configurations.,Examine NSC configuration files.,"Any file or setting used to configure or synchronize NSCs is considered to be a “configuration file.” This includes files, automated and system -based controls, scripts, settings, infrastructure as code, or other parameters that are backed up, archived, or stored remotely."
1.3,Network access to and from the cardholder data environment is restricted.,,
1.3.1,"Inbound traffic to the CDE is restricted as follows: • To only traffic that is necessary, standards.",Examine NSC configuration standards. ; Examine NSC configurations.,
1.3.2,Outbound traffic from the CDE is restricted as follows: • To only traffic that is necessary. standards.,Examine NSC configuration standards. ; Examine NSC configurations.,
