name,version,category,available_languages,last_updated
<<<<<<< HEAD
PCI DSS,v4.0.1 - Jun. 2024,PCI DSS,"EN, ZH, FR, DE, JA, PT, ES",2025-09-15 09:32:08
PCI DSS Summary of Changes,v4.0 to v4.0.1 - Aug. 2024,PCI DSS,"EN, ZH, FR, DE, JA, PT, ES",2025-09-15 09:32:08
Prioritized Approach for PCI DSS,v4.0.1 - Jan. 2025,PCI DSS,"EN, ZH, FR, DE, JA, PT, ES",2025-09-15 09:32:08
Prioritized Approach Tool,v4.0.1 - Jan. 2025,PCI DSS,EN,2025-09-15 09:32:08
PCI DSS Quick Reference Guide,v4.x - Jan. 2025,PCI DSS,"EN, ZH, FR, DE, JA, PT, ES",2025-09-15 09:32:08
PCI DSS v4.0 At a Glance,v4.0 - Dec. 2022,PCI DSS,"EN, ZH, FR, DE, JA, PT, ES",2025-09-15 09:32:08
ASV Resource Guide,Jul. 2024,PCI DSS,"EN, ZH, FR, DE, JA, PT, ES",2025-09-15 09:32:08
Guidance for PCI DSS Requirements 6.4.3 and 11.6.1,Apr. 2025,PCI DSS,"EN, ZH, FR, DE, JA, PT, ES",2025-09-15 09:32:08
TRA Guidance,Nov. 2023,PCI DSS,"EN, ZH, FR, DE, JA, PT, ES",2025-09-15 09:32:08
Vulnerability Management Infographic,May 2025,PCI DSS,"EN, ZH, FR, DE, JA, PT, ES",2025-09-15 09:32:08
ROC Template,v4.0.1 - Jan. 2025,PCI DSS,"EN, ZH, FR, DE, JA, PT, ES",2025-09-15 09:32:08
ROC Template Summary of Changes,v4.0 to v4.0.1 - Aug. 2024,PCI DSS,EN,2025-09-15 09:32:08
Extra Compensating Controls Worksheet,v4.x - Apr. 2023,PCI DSS,EN,2025-09-15 09:32:08
Supplemental ROC Template - Designated Entities,V4.0.1 - Aug. 2024,PCI DSS,"EN, ZH, FR, DE, JA, PT, ES",2025-09-15 09:32:08
PCI DSS AOC - Merchants,v4.0.1 - Aug. 2024,PCI DSS,"EN, ZH, FR, DE, JA, PT, ES",2025-09-15 09:32:08
PCI DSS AOC - Service Providers,v4.0.1 - Aug. 2024,PCI DSS,EN,2025-09-15 09:32:08
Supplemental AOC - Designated Entities,v4.0.1 - Aug. 2024,PCI DSS,EN,2025-09-15 09:32:08
AOC for ROC - Service Providers Extra Form - Part 2g,v4.x - Aug. 2024,PCI DSS,EN,2025-09-15 09:32:08
Sample Templates: Customized Approach,"v4.x - Aug. 2024
v4.x - Nov. 2023
v4.x - Nov. 2023",PCI DSS,EN,2025-09-15 09:32:08
Sample Template: TRA for Activity Frequency,v4.x - Nov. 2023,PCI DSS,EN,2025-09-15 09:32:08
FAQs for Designated Entities Supplemental Validation,Jun. 2022,PCI DSS,EN,2025-09-15 09:32:08
FAQs for use with ROC Template,v4.x - Aug. 2024,PCI DSS,EN,2025-09-15 09:32:08
SAQ Instructions and Guidelines,v4.0.1 - Apr. 2025,SAQ,"EN, ZH, FR, DE, JA, PT, ES",2025-09-15 09:32:08
SAQ A,v4.0.1 - Jan. 2025,SAQ,"EN, ZH, FR, DE, JA, PT, ES",2025-09-15 09:32:08
