name,version,category,last_updated
PCI DSS,v4.0.1 - Jun. 2024,PCI DSS,2025-09-10 09:55:58
PCI DSS Summary of Changes,v4.0 to v4.0.1 - Aug. 2024,PCI DSS,2025-09-10 09:55:58
Prioritized Approach for PCI DSS,v4.0.1 - Jan. 2025,PCI DSS,2025-09-10 09:55:58
Prioritized Approach Tool,v4.0.1 - Jan. 2025,PCI DSS,2025-09-10 09:55:58
PCI DSS Quick Reference Guide,v4.x - Jan. 2025,PCI DSS,2025-09-10 09:55:58
PCI DSS v4.0 At a Glance,v4.0 - Dec. 2022,PCI DSS,2025-09-10 09:55:58
ASV Resource Guide,Jul. 2024,PCI DSS,2025-09-10 09:55:58
Guidance for PCI DSS Requirements 6.4.3 and 11.6.1,Apr. 2025,PCI DSS,2025-09-10 09:55:58
TRA Guidance,Nov. 2023,PCI DSS,2025-09-10 09:55:58
Vulnerability Management Infographic,May 2025,PCI DSS,2025-09-10 09:55:58
ROC Template,v4.0.1 - Jan. 2025,PCI DSS,2025-09-10 09:55:58
ROC Template Summary of Changes,v4.0 to v4.0.1 - Aug. 2024,PCI DSS,2025-09-10 09:55:58
Extra Compensating Controls Worksheet,v4.x - Apr. 2023,PCI DSS,2025-09-10 09:55:58
Supplemental ROC Template - Designated Entities,V4.0.1 - Aug. 2024,PCI DSS,2025-09-10 09:55:58
PCI DSS AOC - Merchants,v4.0.1 - Aug. 2024,PCI DSS,2025-09-10 09:55:58
PCI DSS AOC - Service Providers,v4.0.1 - Aug. 2024,PCI DSS,2025-09-10 09:55:58
Supplemental AOC - Designated Entities,v4.0.1 - Aug. 2024,PCI DSS,2025-09-10 09:55:58
AOC for ROC - Service Providers Extra Form - Part 2g,v4.x - Aug. 2024,PCI DSS,2025-09-10 09:55:58
Sample Templates: Customized Approach,"v4.x - Aug. 2024
v4.x - Nov. 2023
v4.x - Nov. 2023",PCI DSS,2025-09-10 09:55:58
Sample Template: TRA for Activity Frequency,v4.x - Nov. 2023,PCI DSS,2025-09-10 09:55:58
FAQs for Designated Entities Supplemental Validation,Jun. 2022,PCI DSS,2025-09-10 09:55:58
FAQs for use with ROC Template,v4.x - Aug. 2024,PCI DSS,2025-09-10 09:55:58
SAQ Instructions and Guidelines,v4.0.1 - Apr. 2025,SAQ,2025-09-10 09:55:58
SAQ A,v4.0.1 - Jan. 2025,SAQ,2025-09-10 09:55:58
SAQ A-EP,v4.0.1 - Oct. 2024,SAQ,2025-09-10 09:55:58
SAQ B,v4.0.1 - Oct. 2024,SAQ,2025-09-10 09:55:58
SAQ B-IP,v4.0.1 - Oct. 2024,SAQ,2025-09-10 09:55:58
SAQ C,v4.0.1 - Oct. 2024,SAQ,2025-09-10 09:55:58
SAQ C-VT,v4.0.1 - Oct. 2024,SAQ,2025-09-10 09:55:58
SAQ D Merchant,v4.0.1 - Oct. 2024,SAQ,2025-09-10 09:55:58
SAQ D Service Provider,v4.0.1 - Jan. 2025,SAQ,2025-09-10 09:55:58
SAQ P2PE,v4.0.1 - Oct. 2024,SAQ,2025-09-10 09:55:58
SAQ SPoC,v4.0.1 - Oct. 2024,SAQ,2025-09-10 09:55:58
Extra Compensating Controls Worksheet,v4.x - Apr. 2023,SAQ,2025-09-10 09:55:58
AOC for SAQ D - Service Providers Extra Form - Part 2g,v4.x - Aug. 2023,SAQ,2025-09-10 09:55:58
AOC SAQ A,v4.0.1 - Jan. 2025,SAQ,2025-09-10 09:55:58
AOC SAQ A-EP,v4.0.1 - Oct. 2024,SAQ,2025-09-10 09:55:58
AOC SAQ B,v4.0.1 - Oct. 2024,SAQ,2025-09-10 09:55:58
AOC SAQ B-IP,v4.0.1 - Oct. 2024,SAQ,2025-09-10 09:55:58
AOC SAQ C,v4.0.1 - Oct. 2024,SAQ,2025-09-10 09:55:58
AOC SAQ C-VT,v4.0.1 - Oct. 2024,SAQ,2025-09-10 09:55:58
AOC SAQ D - Merchants,v4.0.1 - Oct. 2024,SAQ,2025-09-10 09:55:58
AOC SAQ D - Service Providers,v4.0.1 - Dec. 2024,SAQ,2025-09-10 09:55:58
AOC SAQ P2PE,v4.0.1 - Oct. 2024,SAQ,2025-09-10 09:55:58
AOC SAQ SPoC,v4.0.1 - Oct. 2024,SAQ,2025-09-10 09:55:58
